titre,entreprise,localisation,type_contrat,date_publication,reference,email_contact,telephone,logo_url,url,id_portaljob
BUSINESS ANALYST ODOO - REF-494/PJ - ANTANANARIVO,INGENOSYA,ANTANANARIVO,CDI,10/12/2025,REF-494/PJ,,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/Logo_IGY.png,https://www.portaljob-madagascar.com/emploi/view/ingenosya-madagascar-business-analyst-odoo-ref-494-pj181322,ingenosya-madagascar-business-analyst-odoo-ref-494-pj181322
Collaborateur Juriste Junior-réf:CJJ/1225 - Antananarivo,IRAY,Antananarivo,Contrat,10/12/2025,CJJ/1225,,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/logo_Iray.jpg,https://www.portaljob-madagascar.com/emploi/view/iray-sarl-collaborateur-juriste-junior-ref-cjj-1225181312,iray-sarl-collaborateur-juriste-junior-ref-cjj-1225181312
COMPTABLE JUNIOR - Antananarivo,ETTRRAT,Antananarivo,CDI,10/12/2025,,,,,https://www.portaljob-madagascar.com/emploi/view/ettrat-stmb-comptable-junior181306,ettrat-stmb-comptable-junior181306
Chargé(e) de Développement Commercial B2B – réf:CDC-B2B-FORM-2025 - Antananarivo,Learn & Progress Ltd,Antananarivo,CDI,09/12/2025,CDC-B2B-FORM-2025,,,,https://www.portaljob-madagascar.com/emploi/view/learn-amp-progress-ltd-charga-e-de-da-veloppement-commercial-b2b-a-ra-f-cdc-b2b-form-2025181298,learn-amp-progress-ltd-charga-e-de-da-veloppement-commercial-b2b-a-ra-f-cdc-b2b-form-2025181298
Conseiller en assurance emprunteur -réf:REF-493/PJ - Antananarivo,INGENOSYA,Antananarivo,CDI,10/12/2025,REF-493/PJ,,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/Logo_IGY.png,https://www.portaljob-madagascar.com/emploi/view/ingenosya-madagascar-conseiller-en-assurance-emprunteur-ref-ref-493-pj181300,ingenosya-madagascar-conseiller-en-assurance-emprunteur-ref-ref-493-pj181300
Chargé marketing et communication -réf:CH-COM-1225 - Ivandry Alarobia,Nacre Solutions,Ivandry Alarobia,CDI,10/12/2025,CH-COM-1225,,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/Logo_Nacre_Blanc.png,https://www.portaljob-madagascar.com/emploi/view/nacre-solutions38-charge-marketing-et-communication-ref-ch-com-1225181296,nacre-solutions38-charge-marketing-et-communication-ref-ch-com-1225181296
TECHNICO - COMMERCIAL ELECTRICITE ET PLOMBERIE - Antananarivo,SPIDER,"Antananarivo 


 



Voir toutes les offres de ce recruteur-",CDI,10/12/2025,,,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/LOGO_NPA_Groupe_8.png,https://www.portaljob-madagascar.com/emploi/view/np-akadin-service-sarl-technico-commercial-electricite-et-plomberie181276,np-akadin-service-sarl-technico-commercial-electricite-et-plomberie181276
CHEF DE POSTE SURETÉ - Antananarivo,NP AKADIN Services,"Antananarivo 


 



Voir toutes les offres de ce recruteur-",CDI,10/12/2025,,,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/LOGO_NPA_Groupe_8.png,https://www.portaljob-madagascar.com/emploi/view/np-akadin-service-sarl-chef-de-poste-surete181275,np-akadin-service-sarl-chef-de-poste-surete181275
Acheteur Technique -réf:AT-0225 - Antananarivo,NP AKADIN,Antananarivo,CDI,09/12/2025,AT-0225,,,,https://www.portaljob-madagascar.com/emploi/view/equation74-acheteur-technique-ref-at-0225181181,equation74-acheteur-technique-ref-at-0225181181
TÉLÉ-SECRÉTAIRE FRANCOPHONE POLYVALENTE,NOSYCOM,Voir toutes les offres de ce recruteur-,CDI,08/12/2025,,,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/Logo_NOSYCOM_4_.png,https://www.portaljob-madagascar.com/emploi/view/nosycom85-tele-secretaire-francophone-polyvalente173733,nosycom85-tele-secretaire-francophone-polyvalente173733
OPERATEUR ANNOTATEUR VIDEO - Antananarivo,OWORKERS,Antananarivo,CDI,08/12/2025,"Important : Les candidatures qui ne mentionnent pas la  du poste dans l’objet de l’e-mail risquent de ne pas être traitées.

Nous recherchons 20 Annotateurs(trices) vidéo, pour un travail sur site.

Missions :
Annoter des séquences vidéo selon des guidelines fournis par le client (objets, actions, événements).
Collaborer avec les superviseurs pour optimiser les processus de traitements.",,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/logo_oworkers_1.JPG,https://www.portaljob-madagascar.com/emploi/view/oworkers-sarlu-operateur-annotateur-video181109,oworkers-sarlu-operateur-annotateur-video181109
Merchandiser H/F - Antananarivo,SERTEX,Antananarivo,CDI,11/12/2025,MERCH-2025,,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/LOGO_14.png,https://www.portaljob-madagascar.com/emploi/view/sertex-merchandiser-h-f181291,sertex-merchandiser-h-f181291
Technico-commercial(e),BUSHPROOF,BUSHPROOF,CDI,11/12/2025,,,,,https://www.portaljob-madagascar.com/emploi/view/societe-immobiliere-l-eden-technico-commercial-e181397,societe-immobiliere-l-eden-technico-commercial-e181397
DIRECTEUR DES OPERATIONS -réf:RH-DIR OP - Antananarivo,Innoventis Group,Antananarivo,CDI,11/12/2025,RH-DIR OP,,,,https://www.portaljob-madagascar.com/emploi/view/maison-samat48-directeur-des-operations-ref-rh-dir-op181395,maison-samat48-directeur-des-operations-ref-rh-dir-op181395
Assistant Estimation / Procurement Specialist - Antananarivo,Smartelia,Antananarivo,Contrat,11/12/2025,AEP,,,https://www.portaljob-madagascar.com/application/resources/upload/logo/80x60/unnamed_1__1.png,https://www.portaljob-madagascar.com/emploi/view/smartelia-assistant-estimation-procurement-specialist181394,smartelia-assistant-estimation-procurement-specialist181394
AGENT COMMERCIAL SAMBAINA-réf:AGS - ANTSIRABE,Agora Be,ANTSIRABE,CDI,11/12/2025,AGS,,,,https://www.portaljob-madagascar.com/emploi/view/projet-ab-agent-commercial-sambaina-ref-ags181393,projet-ab-agent-commercial-sambaina-ref-ags181393
